lf,beta,T_time_(ns)
6.0, 1.0,10283162691515
6.0, 1.0,10862497462535
6.0, 1.0,10030558262447
6.0, 3.0,18707945890149
6.0, 1.0,11955218740480
6.0, 3.0,17678960364056
6.0, 3.0,20151453714171
6.0, 3.0,22095034882228
6.0, 3.0,19697599080085
6.0, 3.0,20404769521427
6.0, 3.0,20896015651140
6.0, 3.0,20131635901033
6.0, 3.0,19279678680805
6.0, 3.0,19197261354508
6.0, 3.0,18383320604837
6.0, 3.0,19420130785938
6.0, 3.0,20027104070028
6.0, 3.0,19395189790689
6.0, 3.0,20213573258424
6.0, 3.0,17357297727058
6.0, 3.0,21837041856116
6.0, 3.0,21116767324470
6.0, 3.0,22506241172472
6.0, 3.0,22375063302106
6.0, 3.0,19476919658691
6.0, 3.0,23096622999676
6.0, 3.0,20489945723516
6.0, 3.0,19839331113968
6.0, 3.0,20036127648525
6.0, 3.0,21736825855765
3.5, 3.0,33936780573832
6.0, 3.0,21177407994141
6.0, 3.0,22365009198554
6.0, 3.0,20045669414268
6.0, 3.0,18044352438422
6.0, 3.0,19923561212685
6.0, 3.0,17839224788334
6.0, 3.0,17534970919654
6.0, 3.0,20795127060433
6.0, 3.0,20043314846552
6.0, 3.0,18701783301625
6.0, 3.0,19909605526190
6.0, 0.1,3704250083980
6.0, 3.0,20114465945900
6.0, 3.0,19659146667922
6.0, 3.0,20634639079486
6.0, 3.0,18441353070844
3.5, 3.0,37301539709684
3.5, 3.0,35582054281366
3.5, 3.0,38191448344919
6.0, 0.1,3255973306189
6.0, 0.1,3124383874029
6.0, 0.1,3475749152235
6.0, 1.0,13577944125780
6.0, 1.0,11486566773830
6.0, 1.0,12995623276905
6.0, 1.0,13529774839443
6.0, 3.0,23977343172423
6.0, 3.0,24423553806576
6.0, 3.0,27752928434258
6.0, 3.0,24911401171870
0.5, 0.1,3354368374452
0.5, 0.1,3395388999829
0.5, 0.1,3536676008034
0.5, 0.1,3537020101861
0.5, 0.1,3618304608979
0.5, 0.1,3643873245714
0.5, 0.1,3663884589174
0.5, 0.1,3682929782093
0.5, 0.1,3700452872387
0.5, 0.1,3726669397624
0.5, 0.1,3792348228141
0.5, 0.1,3854896841986
0.5, 0.1,3858235101531
0.5, 0.1,3866827536841
0.5, 0.1,3878087580997
0.5, 0.1,3895280961518
0.5, 0.1,3906538901259
0.5, 0.1,3919346310241
0.5, 0.1,3929391096395
0.5, 0.1,3931153690259
0.5, 0.1,3942424090801
0.5, 0.1,3955955645127
0.5, 0.1,3974867773697
0.5, 0.1,3986636968967
0.5, 0.1,3994126131626
0.5, 0.1,3996853326730
0.5, 0.1,4035363861537
0.5, 0.1,4056277291007
0.5, 0.1,4057174983745
0.5, 0.1,4072974606855
0.5, 0.1,4091573661746
0.5, 0.1,4101294923878
0.5, 0.1,4109282798612
0.5, 0.1,4119277377420
0.5, 0.1,4132325466113
0.5, 0.1,4149885493644
0.5, 0.1,4190642211535
0.5, 0.1,4190797984655
0.5, 0.1,4209989354505
0.5, 0.1,4233817642985
0.5, 0.1,4258389984709
0.5, 0.1,4344735280870
0.5, 0.1,4352342571048
0.5, 0.1,4355946244198
0.5, 0.1,4358917938778
0.5, 0.1,4402283388449
0.5, 0.1,4417607098740
0.5, 0.1,4420625026559
0.5, 0.1,4421236891347
0.5, 0.1,4439456162166
0.5, 0.1,4449318987124
0.5, 0.1,4450774878214
0.5, 0.1,4460267391954
0.5, 0.1,4480171870873
0.5, 0.1,4497242372001
0.5, 0.1,4515464101883
0.5, 0.1,4524526369535
0.5, 0.1,4533925921125
0.5, 0.1,4549382454755
0.5, 0.1,4570368387322
0.5, 0.1,4583404385973
0.5, 0.1,4607143567468
0.5, 0.1,4629117558792
0.5, 0.1,4681169059111
0.5, 0.1,4736084680827
0.5, 0.1,4778451449372
0.5, 0.1,4852602952104
0.5, 0.1,4952092979687
0.5, 0.1,5033180803914
0.5, 0.1,5037631583929
0.5, 0.1,5132075229716
0.5, 0.1,5200703130795
0.5, 0.1,5206633904359
0.5, 0.1,5258849772187
0.5, 0.1,5366381096667
0.5, 0.1,5582753515904
0.5, 0.1,5647095942934
0.5, 0.1,5661702487473
0.5, 0.1,5766675307592
0.5, 0.1,5787634039994
0.5, 0.1,5843886141708
0.5, 0.1,5858072903758
0.5, 0.1,6098923477957
0.5, 0.1,6106489228860
0.5, 0.1,6226321646951
0.5, 0.1,6379350368098
